cleaned_tweets,sentiment
,neutral
ልዩ የተፈጥሮ ገፅታ የምስራቅ አፍሪካ የውሀ ማማ ጮቄ,neutral
abbasheger ማንም ቢሆን የሀገሩን ጥቅም አሳልፎ አይሰጥም ያ መላጣ ነአ የሻቢይን ይሁንታ ለማግኘት ሲል ሀገሪቱን የባህር አሳጥቷታል ታምራት እውነታውን ባወራ እንዲህ እርር ማለት ምን አመጣው ሚሊዮኖች አብረውት ናቸው,mixed
ብጄ አሳምነው ፅጌ ከምክትል ጠሚ ደመቀ ጋር በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረው ኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ናት ከህወሀት ጋር ግን ቤተሰብ ነን,neutral
,positive
ethioreporter the only part i likeትልልቅ የነዳጅ ፍጆታ ያላቸው ተሽከርካሪዎች ከአየር ብክለት አኳያ በነዳጅ ወጪም ረገድ ተለይተው ኤክሳይዝ ታክሱ ሊጣልባቸው እንደሚገባ በሊትር ኪሎ ሜትር በሚነዱት ላይ የተለየ አተያይ እንዲኖር ጠይቀዋል,neutral
abionebekele እሺ ወንድሜ እተከላለሁ ማኛ እኮ ናት ወዳታለሁ በጣም ደሞ ቅና አሉህ,neutral
fitih ይቺን አውቆ ዶር አብይ ክርስቲያን የሆነዋኧረ ጀንፈሉ ይህ እንጣጥ እንጣጥ ዋዋዋ,neutral
,neutral
drsenait ሰው የፈለገውን የመሆን መብት ቢኖረውም መብቱ የሚወሰነው ግን በሚኖርበት ሀገር ውስጥ ህጉ ማኖር ሲችል ብቻ ይህ ከመብት ከእኩልነት ጋር አይገናኝም ከህግ ጋር እንጂ,neutral
bobomaheder global citizenንነቴ ኢትዮጵያዊነቴ ተምታተውብኝ አያውቁም የሚል ይታከልበት,neutral
,positive
rt techinethiopia ሀሴትን ከበጎነት የሰው ልጅ በምድር ሲመላለስ ታላቅ የመንፈስ እርካታን ከሚያጎናፅፉት ተግባራት መካከል አንዱ ለተቸገረ መድህን ለወገንም አለኝታ መሆን ሲችል እንደሆነ ብዙዎቻችንን…,mixed
ለቅዳሚታችሁ ❤ አሁን በምትሰሩት ማንኛውም ነገር ምሉእነትና እርካታ ይሰማችሁ የአሁንነት ሀይል ለመንፈሳዊ የእውቀት ብርሀን መመሪያ በኤክሀርት ቶሌየተዘጋጀ መፅሀፍ,neutral
tesfamaryam ኮንዶሚኒየም ከሆነ እመልሳለሁ ካልሆነ መልሴን አላባክንም,neutral
jeberara ስንታየሁም ሆነ ኤልያስ ፓርላማ ለመግባት ምን ያንሳቸዋል ደግሞ ሁለት ሰው ብቻ ይዞ ፓርቲ ይመሰረታል ያለህ ማነው መቸም በእስክንድር ላይ በየምክኒያቱ ዱላ የማያነሳ የለም በመርህ የሚመራ አንድ ፅኑ ሰው ቢኖር አልቆም አላስቀምጥ አላችሁት,neutral
woldeyest tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ,negative
ታሀሳስ ቀን በሞጣ ከተማ አስተዳደር በመስጅዶችና ሱቆች ላይ የደረሰውን የእሳት ቃጠሎ በማውገዝ የእስልምና ሀይማኖት ተከታዮች በባህር ዳር ሰላማዊ ሰልፍ እያካሄዱ ይገኛሉ ethiopia ethiomuslim,mixed
አሜሪካ ሱሌይማኒን በመግደል ቀይ መስመሩን ሳታልፍ አይቀርም ዜጎቿ አገሪቱን ለቀው እንዲወጡ አዝዛለች ጀለሶቿ ደግሞ restrain deescalate እያሉ መለማመጥ ጀምረዋል,neutral
hasethaset ይሄው አይደል የእውቀትሽ ጥግበሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢምደሞ ራስሽን አታስገምቺ,negative
birrkanf abrshel melakabera የሚባክን ጊዜ መኖር የለበትም ዳይ ወደ ስራ,neutral
የጎንደር ዩኒቨርሲቲ በ ተማሪዎችመምህራንና የአስተዳደር ሰራተኞቹ ላይ እርምጃ ወሰደ,neutral
አማራ ክልል አንድ ነገር ሲፈጠር የማያወግዝ ሰው የለም ከፖለቲከኛው እስከሊስትሮ ድረስ ኦሮሞ ክልል ግን አሰቃቂ ሽብር ሲፈፅም ባላየ የሚያልፎት እንኳን ሊያወግዙ ይቅርና,neutral
ዛሬ ጁመአ በወሎ ኮንቦልቻ የተደረካ ከባድ መልክት ያለው የቃውሞ ሰልፍ ብልፅግና ፓርቲ ብልፅግናችሁን አሳዩን,positive
,neutral
rt gfasil ቢቢሲ ዘገበ ይባላል ሌላ የሚባል ነገር ካለ አንተዉ ንገረን,negative
አማራ ክልል ፈልቶበታል ልኩን ማስገባት ሙስሊሞችን ጠልቶ ሙስሊሞች በሚኖርባት ኦሮምያ ጋር ግንኙነትን አትሰበው,negative
seleshiba እረ የሆነ ነገር ፍጠሩና እንቅጩን ንገሩን እህህ እስከመቼ አሁንስ ይበቃል አያቴ መቀነቷን ፈታ ለግድቡ የከፈለችበትን ዋጋ እንኳን ሳትሞት እንድታየወ አድርጓት,mixed
rt balchaeyob ባህልን መሰረት ያደረጉ መገለጫዎች አሉት መገለጫዎቹም መደበኛና ኢመደበኛ በሆኑ ስርአታት ስር ሰደውና ጎልተው ሊይታዩ ይችላሉ የጎንዮሽ ኢእኩልነት አብላጫውን የፖለቲካ ንቅናቄ ሂደትን በሚቆጣ…,neutral
ጥበበኛው የፍቅር አስተማሪ ቴዲ አፍሮ,positive
,positive
rt alemayehugk የአቢይ አህመድ መንግስት ያደረጋቸውን በርካታ በጎ ተግባራት መዘርዘር ይቻላል ነገር ግን የአንድ መንግስት የመጀመሪያ ሀላፊነት የሆነውን የዜጎችን ደህንነት በማስጠበቅ ረገድ it has faile…,mixed
ፅድቅና ኩነኔ ቢኖርም ባይኖርም ከክፋት ደግነት ሳይሻል አይቀርም ☕ፉት እያላችሁማ,positive
መንግስት ሆይ ሀገሪቷን የማፍያ መፈንጫ እንድትሆን አትተዋት ሰላም አልፈልግም ብሎ ጉልበት ለመረጠ በእቅፍ አበባ ሳይሆን በሚደቁስ ጠንካራ ክንድ መቀበሉ የግድ,neutral
በመፅሀፈ ጨዋታ መሰናዶ ላይ ያየሁት ተመቸኝ ቃለ መጠይቅ የተካሄበት ቦታ ላይብረሪ ይመስለኛል ተሰንደው በተደረደሩ ጋዜጦች የተሞላ ለምሳሌ አዲስ ዘመን ሪፖርተር ፎርቹን አዲስ አድማስ ጋዜጦች ተሰንደው ተመልክቻለሁ ethiopia,neutral
,positive
fairytale 🤣 ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ምን ሆኖ ግን ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ,negative
berisooshone jawarmohammed ዠልጥ🤣 🤣🤣 ገገማ,negative
