clean_tweet,label
አሜን እውነት ብለሀል መሪዬ ዶር ዐብይ ብዙዎች ከአንተጋር መሆናችንን እንመሰክራለን,1
"እወድሽ ነበረ ዛሬስ ጠላሁሽ
 እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧
ወይ ጉድ",0
😂😆😜🤡 አጋር ፓርቲም ሆኖ የመኖር ፍላጎት አሳይታለች....አሮጊቷ 🙌🏽🤣,0
ከፍተኛ ሊግ ለ | መከላከያ እና ሀምበሪቾ ወደ ሠንጠረዡ አናት ሲጠጉ ሶዶ እና ጨንቻ አሸንፈዋል,1
ይሄ ሽማግሌ ግን አይበቃውም? ንስሃ አይገባም🤦‍♂️,0
"ምንም ሲሰሩ አላየንም ከቄሮ ጋር ተደርበውወ ህዝብን ከማሰቃየት በስተቀር ለምሳሌ የክርስትያኖችን የኣንገት ማህተብ ማስወለቅ የእምነት መገልገያዎችን ከምእምናኑ  ላይ ቀምቶ ማቃጠል ምክንያቱ ደግሞ ከለሩን ስላልወዱት😡
ይሄ ነበር ስራቸው 😞",0
2020 በልመናህ መጀመሪያ ላይ ትእዛዝ ወጥቶአል፥,0
"በአዲሡ የፈረንጆች አመት 
 ሠላም ሠላም ሠላም 
  ለኢትዮጵያ",1
": /
እናመሰግናለን አውሮፓ...
/
ዲያስፖራው ኃላፊነቱን ተወጥቷል.... በብዙ እጥፍ አትርፎ...
/
ቀሪው ኃላፊነት ሀገር ቤት ላለነው ነን..
/
እንፈተናለን..
/
ከወደቅን እንጠየቃለን..…",1
ሁላችንም በጋራ ነጻ ስንወጣ ነው ኢትዮጵያ ውስጥ ነጻነት የሚሰፍነው። ሁላችንም በእኩል ተጠቃሚ የሚያደርግ ስርአት ሲመሰረት ነው ርትኡነት የሚሰፍነው። ሁሉንም በእኩል የሚዳኝ ስርአት ስናሰፍን ነው ፍትህ የምትጸናው።,1
...... እምነት፣ የሚንቀለቀለውን ደመራ፣ በንፁህ ውሃ እንደተሞላ ገንዳ ዘለህ እንድትገባበት የሚያስችልህ ልበሙሉነት ይሠጥሀል።,1
"በሀገር ውስጥም ሆነ በውጭ የሚኖሩ አማራዎች በአማራ ሕዝብ ጥቅም ጉዳይ በአንድነት መሥራት እንደሚገባ
 አቶ ዮሐንስ ቧያለው ጠየቁ፡፡",1
በዚህ ሁሉ መሀል ግን እንዴት እንዲህ ሆን የሚለውን ጥያቄ አንስተን መልስ መመለስ አለብን። በመካከላችን ስምምነት አጥተን እየተሳሳብን መሆናችን ገና ከዚህም በላይ ዋጋ ያስከፍለናል። ማንም ቢሆን ህብረት የሌለውን ሀገር አያከብርም፥ አይፈራም!!,1
ቦርኮ....ጥንብ ብቻ,0
ኢራን አስፋሪ የአፀፋ ምላሽ ልትሰጥ እንደምትችል እየተነገረ ይገኛል። ግድያው በትራምፕ ትዕዛዝ መፈፀሙን ፔንታጎን አስታውቋል። 2/2,0
"ሰው ነገረኛ ነው አንዷ ዛሬ 
እንኳን ከቲም ለማ ወደ ተው ለማ
በሰላም አሸጋገርን ትላለች",0
It is good... ፍቱን መድሀኒት : በተለይ ከ የበዓል ምግብ ብሗላ 😂,1
መቻልስ እንደ የኔ ቆንጆ ኑሪ እያለ እንደሚዘፍነው ልጅ እና እንደ ቤቲ ነው በቃ።😂,1
ይሄን ያህል መብት የሠጠ መንግስት ነዉ የህግ ከለላዉ ለአራጁ ቄሮ ጀዋር ለሚመራዉ ቄሮ ይሄን ያህል ስልጣን ሠቶ እያሣረደና እያስገደለ ያለ መንግስት ነዉ,0
ይሀው መጣው ደሞ የት መሄጃ አለኝ,0
በለው! 😃 እሺ እንግዲህ,0
የት ነው ያለው ? መቅረጽሽ ና ትዊት ማድረግሽም ለበጎ ነው ፈጣሪ ይርዳህ,1
"ኢች ""አብይ እንዴት ለማን እንኳን አይሰማም?!"" አይነት አስተያየት ተደጋገመችሳ። ለማንኛውም ቁልፉ የአቶ ለማ ሃሳብ ተቀባይነት ማግኘት አለመቻሉ ላይ ነው። የአዞ እንባው ግን ለትዝብት እንዳይዳርግ።",0
የእኔ የጥበብ ሥራን የማይደግፉ ከሆነ ለእኔ ለእኔ ምንም አይደሉም እናም በጥፋት የተረገሙ ናቸው ፡፡,0
ቤት ልብ የሚገኝበት ነው ❤️,1
": አክሱም ዛሬ !♥
 
        ሰላም ለሀገራች ኢትዮጵያ💚💛❤🙏",1
ነብሰ ገዳይ አንድ  ቀን በእግዚብሔር ፍት ለፍርድ ትቀርባለህ,0
"አንተም የኦሮሞ ህዝብ ብዙ ተስፋ ጥሎብክ ነበረ ነገር ግን አንተም ሁሉም ነገርለነፍጠኞች መልዕክተኛ መሆንክን አሰዝኖኛል
ሌላ ቀርቶ እንኳን የመጠክበትን አካባቢ መርሰትክ የመል",0
በል እንግዲህ አብረን እንውረግረግ 😂😂,1
የሳይንስና ከፍተኛ ትምህርት ሚኒስቴር በሀገሪቱ በሚገኙ ከፍተኛ የትምህርት ተቋማት ላይ አበረታች የተቋማዊ ለውጥ ስኬቶች መገኘታቸውን ገለጸ፡፡) -  -,1
ቡና ወዳጆች በሙሉ  እንኳን ደስስስ ያለን። በቃ እኔ ማቱሳላን ነው መሆን የምፈልገው! 🙏,1
: ጠ/ሚኒስትሩ ከኣልኮልና ሲጋራ ከኤክሳይዝ ታክስ የሚገኘዉ ገቢ የህብረተሰቡን ጤና ለማበልፀግ ያሉት ተወዳሽ ነዉ። ሆኖም ገንዘብ ሚኒስቴር ይህንና በሲጋራ ላይ መጣል ያለበትን 30%+8ብር በፓኮ ስራ…,1
ስራ ፈት 😂🤦🏽‍♂️,0
አማርኛ እያወራን መግባባት ካልቻልንማ ምን ማድረግ ይቻላል?! 🤔,0
"አንዳንድ ሰው ሲያደናቅፍህ ""ቀስ በል እንጂ እያየህ አትሄድም?"" ሲል ያስቀኛል:: ምናለ እሱ ከ2 ደቂቃ በፊት ቢነግረኝ? 😒 የሱ ምክር ምን ይሰራል ካደናቀፈኝ በሗላ?",0
የመጀመሪያው ሰው ነኝ ከቤታችን ልብሴ ላይ ተደርጎልኝ ከጏደኞቼ ጋር ...ባትጌ እየተባባልን... የማይረሳ,1
ምግብ ቤት አስመሰላችሁት እኮ፣ ዝርክርክ,0
ሀ-meme ስጋውን ተዘልዝለው ጨረሰዋል። አሁን ተራው በየቲቪው እየቀረበ ቅሌት መከናነብ,0
"ዩኒቨርስቲዎች መዘጋት የለባቸውም ብዬ ነው የማምነው ምክንያቱም መንግስት የተማሪዎችን ደህንነት የማስጠበቅ ግዴታ ስላለበት፤ አልፎም ከዩኒቨርስቲ ውጭ የዜጎችን ደህንነት ማስጠበቅ ስለተሳነው መዘጋታቸው አሁን ላይ የግድ ነው። 

ሟች መቁጠር ይብቃ!",1
አብንን ከምርጫው ብታስገባው የተሻለ ውድድር እናይ ነበር,1
"እኔ የጎጃም ነጻ አውጪ ግንባር አቋቁሜ አባላት ""አስመለምልሃለኋ!"" :-)",0
: ሀሳብ ብደግፍም ባደግፍም ሰው የመሰብሰብ መብቱ በምንም ተዓምር ሊከለከል ይገባም። አሁን ምን የሚሉት ነገር ነው የመሰብሰብ የመደራጀትን መብት እያፈኑ ነፃና ፍትሀዊ ምርጫ እናደርጋለን የሚሉት።,0
አውራ ጣቱ ጫማውን እየተሰናበተ ያለውን ነው,0
😂😂ስለሆንኩ ነዋ። ከደበረሽ ግን ይቀራል,0
": 2020 ለኢትዮጵያ የማንሰራራት አመት:
የዘር የሃይማኖት አክራሪነት የሚለዝብበት
በሰላም ምርጫው የሚጠናቀቅበት
ፍትህ የሚፈፀምበት 
የመጠፋፋት የደናቁርት አጀንዳ የሚመክንበት
የህዝባችን የኑ…",1
